if numbers are 0, that is GOOD, that means HDLsimulation and Matlab results are identical as they should be
1057751040 1117519872 41156608 100925440 160694272 220725248 280494080 340262912 400031744 459800576 519569408 579338240 639107072 698875904 758906880 818675712 878444544 938213376 997982208 
1391722496 1475084288 1558446080 57671680 141033472 224395264 307757056 391118848 474480640 557842432 641204224 724566016 807927808 891289600 974651392 1058275328 1141637120 1224998912 1308360704 
1678508032 1785462784 1892417536 1999372288 73924608 180879360 287834112 394788864 501743616 608698368 715653120 822607872 929562624 1036517376 1143472128 1250689024 1357643776 1464598528 1571553280 
1918107648 2048655360 2179203072 2309750784 2440298496 90177536 220725248 351272960 481820672 612368384 742916096 873463808 1004011520 1134559232 1265369088 1395916800 1526464512 1657012224 1787559936 
2110521344 2264662016 2418802688 2572943360 2727084032 2881224704 106430464 260571136 414711808 568852480 722993152 877133824 1031536640 1185677312 1339817984 1493958656 1648099328 1802240000 1956380672 
2255749120 2433482752 2611216384 2788950016 2966683648 3144417280 3322150912 122945536 300679168 478412800 656146432 833880064 1011613696 1189347328 1367080960 1544814592 1722548224 1900281856 2078015488 
2353790976 2555117568 2756444160 2957770752 3159097344 3360423936 3561750528 3763077120 139198464 340525056 541851648 743178240 944504832 1145831424 1347158016 1548484608 1749811200 1951137792 2152464384 
2404646912 2629566464 2854486016 3079405568 3304325120 3529244672 3754164224 3979083776 4204003328 155451392 380370944 605290496 830210048 1055129600 1280049152 1504968704 1729888256 1954807808 2179727360 
2408316928 2656829440 2905341952 3153854464 3402366976 3650879488 3899392000 4147904512 4396417024 4644929536 171704320 420216832 668729344 917241856 1165754368 1414266880 1662779392 1911291904 2159804416 
2364801024 2636906496 2909011968 3181117440 3453222912 3725328384 3997433856 4269539328 4541644800 4813750272 5085855744 188219392 460324864 732430336 1004535808 1276379136 1548484608 1820590080 2092695552 
2274099200 2569797632 2865496064 3161194496 3456892928 3752591360 4048289792 4343988224 4639686656 4935385088 5231083520 5526781952 204472320 500170752 795869184 1091567616 1387266048 1682964480 1978400768 
2136473600 2455764992 2774794240 3094085632 3413377024 3732668416 4051959808 4371251200 4690542592 5009833984 5329125376 5648416768 5967446016 220725248 540016640 859308032 1178599424 1497890816 1817182208 
1951399936 2294284288 2637168640 2980052992 3322675200 3665559552 4008443904 4351328256 4694212608 5037096960 5379981312 5722865664 6065750016 6408372224 237240320 579862528 922746880 1265631232 1608515584 
1719140352 2085617664 2452094976 2818572288 3185049600 3551526912 3917742080 4284219392 4650696704 5017174016 5383651328 5750128640 6116605952 6482821120 6849298432 253493248 619970560 986447872 1352663040 
1439956992 1829765120 2219835392 2609905664 2999975936 3390046208 3780116480 4170186752 4559994880 4950065152 5340135424 5730205696 6120275968 6510346240 6900154368 7290224640 269746176 659816448 1049886720 
1113325568 1526988800 1940652032 2354053120 2767716352 3181379584 3595042816 4008706048 4422369280 4835770368 5249433600 5663096832 6076760064 6490423296 6904086528 7317487616 7731150848 285999104 699662336 
739508224 1176764416 1614020608 2051276800 2488532992 2925527040 3362783232 3800039424 4237295616 4674551808 5111808000 5548802048 5986058240 6423314432 6860570624 7297826816 7734820864 8172077056 302514176 
RESULT of PG * Gt of Matrix with size 19 X 19


524288 524288 524288 524288 524288 524288 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 524288 524288 524288 524288 524288 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 524288 524288 524288 524288 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 524288 524288 524288 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 524288 524288 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 524288 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 786432 
RESULT of Pt * G of Matrix with size 19 X 19


2640838656 2656043008 2670985216 2686189568 2701393920 2716598272 2731540480 2746744832 2761949184 2777153536 2792357888 2807300096 2822504448 2837708800 2852913152 2868117504 2883059712 2898264064 2913468416 
2926051328 2652110848 2667315200 2682519552 2697723904 2713190400 2728394752 2743599104 2758803456 2774007808 2789212160 2804416512 2819620864 2834825216 2850029568 2865233920 2880438272 2895642624 2910846976 
2923429888 2938634240 2663645184 2678849536 2694316032 2709520384 2724724736 2739929088 2755395584 2770599936 2785804288 2801270784 2816475136 2831679488 2846883840 2862350336 2877554688 2892759040 2908225536 
2920546304 2936012800 2951217152 2675179520 2690383872 2705850368 2721054720 2736521216 2751725568 2767192064 2782396416 2797862912 2813067264 2828533760 2844000256 2859204608 2874671104 2889875456 2905341952 
2917662720 2933129216 2948595712 2963800064 2686451712 2701918208 2717384704 2732851200 2748055552 2763522048 2778988544 2794455040 2809921536 2825125888 2840592384 2856058880 2871525376 2886991872 2902196224 
2914516992 2929983488 2945712128 2961178624 2976645120 2697986048 2713452544 2728919040 2744385536 2759852032 2775318528 2790785024 2806251520 2821718016 2837184512 2852651008 2868117504 2883584000 2899050496 
